true_sentiment,paraphrased_title
Negative,GBPUSD faces risk of dropping to 1.1900 - UOB
Negative,USDJPY expected to decline to 125.00 in the next three months - Danske Bank
Positive,GBPUSD poised to break above the 1.1850-1.2450 range after consolidating - Credit Suisse
Negative,AUDUSD likely to weaken further - UOB
Positive,USDJPY has potential for additional gains in the short term - UOB
Negative,"EURUSD plunges to 6-week lows near 1.0630, as the dollar remains robust"
Negative,"GBPUSD slips below the 200-day DMA, vulnerability increases near January's lowest levels"
Neutral,EURUSD expected to peak in Q1 2024 rather than Q4 2023 - Commerzbank
Negative,BoE aims to conclude rate hike cycle sooner than later - Commerzbank
Neutral,EURUSD likely to decline but holding above parity - Danske Bank
Negative,EURUSD Showing signs of gradual decline - OCBC
Positive,"USDJPY Analysis: Reaches new year-to-date high, poised for further gains"
Neutral,ECB's Villeroy: Need for more predictability in our communication
Neutral,EU's Šefčovič: Progress made in Brexit negotiations
Negative,EURUSD: Risk of overshooting to support at 1.0460 - Scotiabank
Negative,"AUDUSD Analysis: Remains under pressure, vulnerable below 50-day SMA"
Negative,EURUSD Analysis: Further weakness could revisit 1.0600
Negative,GBPUSD: Potential for significant downward movement towards 1.1200 - Scotiabank
Negative,"EURUSD expected to reach 1.1400, USDJPY to decline towards 121 by year-end - BNP Paribas"
Positive,"GBPUSD gains momentum, reclaims 1.2000 as GBP faces weekly losses"
Positive,"GBPUSD returns above previous support levels, attracting buyers"
Negative,"AUDUSD fluctuates around 0.6877, ends week with losses"
Positive,AUDUSD rebounds from lower boundary of previous trading range
Negative,AUDUSD tests lower boundary after encountering resistance at session highs
Positive,EURUSD reaches target at 100-hour MA
Positive,EURUSD Analysis: Dollar's failure above 1.0420 opens risk towards 1.0720s
Neutral,AUDUSD retraces back to unchanged levels for the day
Positive,AUDUSD advances towards 0.6900 despite concerns over US inflation recovery
Negative,USDJPY Analysis: Bears await break below 132.50
Negative,Rishi Sunak compelled to 'pause' Protocol deal
Negative,"GBPUSD retreats after bounce from six-week low near 1.2030 as UK PMIs, Fed Minutes loom"
Neutral,"EURUSD remains cautious around 1.0700 ahead of Eurozone PMIs, Fed Minutes"
Negative,AUDUSD Analysis: Pulls back towards support confluence at 0.6800
Positive,"USDJPY registers slight gains above 13400 amidst sour sentiment, Fed concerns, and stronger yields"
Positive,AUDUSD hits new daily high above 0.6880 as PBoC maintains LPR
Negative,"EURUSD Analysis: Continues to be under pressure, targeting support area around 1.0630-1.0515"
Neutral,Japanese PM Kishida requests UN Security Council meeting on North Korean missiles
Negative,GBPUSD Analysis: Slides towards 1.2000 as bears prepare for another test against key DMAs
Neutral,US and Taiwan may finalize bilateral trade agreement sooner than expected this year - Report
Negative,BoJ announces plan to purchase JPY175 trillion worth of JGBs on Monday
Negative,USDJPY: Sell-off expected on rallies above 13500 - Citibank
Neutral,USDJPY Analysis: Requires acceptance above 13500 for potential upward movement
Neutral,EURUSD aims to regain 1.0700 as risk appetite improves; Fed minutes in focus
Positive,AUDUSD approaches 0.6900 as USD Index continues to weaken; RBA and FOMC minutes in spotlight
Neutral,EURUSD: Reduced expectations for movement below 1.0615 - UOB
Neutral,GBPUSD eyes 1.2050 as risk-off sentiment diminishes further ahead of US-UK PMIs
Neutral,FX option expiries for February 20 New York cut
Negative,GBPUSD: Further losses anticipated below 1.2100 - UOB
Neutral,"USDJPY consolidates within narrow range, manages to stay above 13400 mark"
Neutral,RBA expected to keep cash rate at 0.41 by May - ANZ
Negative,EURUSD requires hawkish FOMC minutes to break towards 1.0500 - ING
Positive,AUDUSD: Deeper pullback not favored - UOB
Neutral,French Finance Minister Le Maire: Inflation expected to ease from mid-year
Neutral,EURUSD encounters resistance just above 1.0700
Negative,"AUDUSD holds onto intraday gains around 0.6900, lacking bullish conviction"
Neutral,BoJ's Amamiya: Appropriate to maintain current policy given underlying price movements
Negative,Potential change in BoJ's ultra-dovish monetary policy could lead to USDJPY sell-off again - ING
Negative,EURUSD expected to decline towards 200DMA support around 1.0330 - MUFG
Neutral,USDJPY undergoing near-term consolidation - UOB
Neutral,GBPUSD to be influenced by Dollar trend - ING
Negative,"GBPUSD surrenders modest intraday gains, holds above 1.2000 amidst USD uptick"
Neutral,Bundesbank: German economic outlook somewhat brighter despite persistent high inflationary pressures
Negative,EURUSD encounters resistance near 200 hour MA - Again
Neutral,"USDJPY remains range-bound around 13400, bullish potential intact - Price Analysis"
Neutral,EURUSD: Psychological support expected around 1.0600 - Rabobank
Negative,EURUSD: Another visit to February low not ruled out - Price Analysis
Negative,USDJPY corrects to moving average support as traders push the pair lower
Negative,"GBPUSD finds sellers near 100 hour MA, level to watch at week's start"
Neutral,Eurozone Consumer Confidence Indicator improves as expected to 19 in February
Negative,GBPUSD: Low conviction for return to 1.2450 - SocGen
Positive,AUDUSD nears key low-risk trading target
Positive,ECB's Rehn: Appropriate to raise rates beyond March
Negative,SocGen: Further USD strength requires Fed Funds futures market to anticipate 50 bps hike in March
Positive,AUDUSD remains strong despite risk aversion and soft USD
Negative,"GBPUSD oscillates around Friday's high amidst low volumes, bears lurking"
Neutral,SNB Vice Chair Martin Schlegel: SNB remains willing to intervene in FX markets
Neutral,Forex Today: Slow start to the week
Neutral,EURUSD parked in inside day range as traders await next cue
Neutral,"USDJPY hovers around 13430s as traders focus on Japanese and US PMIs, US housing data"
Negative,"AUDUSD retreats towards 0.6900 despite upbeat Aussie PMI data, RBA Minutes in sight"
Neutral,"GBPUSD clings to 100HMA above 1.2000, UK PMI in view - Price Analysis"
Positive,"EURUSD: Hawkish ECB talks, upbeat EU data tease bulls near 1.0700, PMIs in focus"
Neutral,USDJPY Price Analysis: Watching for W formations support structure near 13280
Positive,RBA minutes: Board anticipates additional rate hikes in coming months
Positive,"AUDUSD hits intraday high above 0.6900 on RBA Minutes, US PMI in focus"
Positive,BoJ's Kuroda: Wage growth expected to accelerate
Negative,"GBPUSD drops towards 1.2000 ahead of UKUS PMI, following Monday's bearish Doji"
Negative,EURUSD Price Analysis: Bears approach 11-week-old support line near 1.0620
Positive,"USDJPY rises past 13400 on firmer yields, despite mixed Japan data and hawkish BoJ talks"
Neutral,"AUDUSD hovers near 0.6900 as RBA hawks clash with US Dollar bulls, focus on PMI"
Negative,"GBPUSD pressured by Brexit woes and USD rebound, ahead of UKUS PMI"
Negative,EURUSD drops to near 1.0660 as risk-off sentiment solidifies ahead of Eurozone ZEW Survey
Neutral,AUDUSD stabilizes below 0.6900 despite hawkish RBA minutes and upbeat Feb PMI
Neutral,Japan's Lawmaker: BOJ chief nominee Ueda to testify before Upper House on Feb 27
Neutral,EURUSD: Downward momentum loses traction - UOB
Neutral,USDJPY Price Analysis: Holds mildly bid above 13380 support confluence
Negative,GBPUSD: Further weakness expected below 1.2100 - UOB
Neutral,"GBPUSD trades with modest losses, holds above 1.2000 ahead of UKUS PMIs - Price Analysis"
Neutral,FX option expiries for Feb 21 NY cut
Neutral,Significance PMIs for exchange rates might increase for now - Commerzbank
Positive,EURUSD: Positive PMI surveys expected to push Euro back to 1.0750-1.0800 range - ING
Negative,German Preliminary Manufacturing PMI unexpectedly declines to 46.5 in February
Negative,EURUSD faces selling pressure below 1.0700 mark ahead of data
Negative,Eurozone Preliminary Manufacturing PMI drops to 48.5 in February vs 49.3 expected
Negative,AUDUSD remains under pressure below 0.6900 mark amidst stronger USD and risk-off mood
Positive,"UK Preliminary Services PMI returns to expansion, reaches 53.3 in February"
Positive,"USDJPY clings to intraday gains, eyes 13500 mark amid modest USD strength"
Positive,"German ZEW Economic Sentiment Index surpasses expectations, reaching 281 in February"
Neutral,"GBPUSD rises above 1.2100 mark on positive UK PMIs, gains capped by stronger USD"
Negative,GBP to face continued pressure due to ongoing Brexit issues - Commerzbank
Neutral,USDJPY experiences additional consolidation in the near term - UOB
Negative,EURUSD expected to face downside pressure with a clear daily close below 1.0680 - Scotiabank
Neutral,EURUSD Price Analysis suggests extra consolidation in the near term
Neutral,EURUSD likely to hold recent range between 1.0620 and 1.0720 - OCBC
Positive,"USD shows mixed performance, EURUSD down while GBPUSD up in early trading"
Positive,GBPUSD expected to reach the 1.2165-1.2170 area - Scotiabank
Positive,AUDUSD may test the upper bound of its current range near 0.6800 on strong Australian wages data - Commerzbank
Neutral,Lagarde speech: No signs of wage price spiral in Eurozone
Neutral,EURUSD testing the 200-hour MA
Negative,USDJPY retreats after failing to break above last week's high
Negative,"EURUSD loses traction, falls toward 1.0660s after US PMIs ahead of FOMC minutes"
Positive,GBPUSD bulls gain momentum as bear trend reverses
Positive,USDJPY bulls aim for continuation as US Dollar strengthens
Negative,Renewed inflation-related concerns boost the US Dollar - Forex Today
Negative,AUDUSD weakens further below 0.6850 ahead of FOMC minutes
Negative,EURUSD retreats from 1.0650 amid pessimistic market sentiment
Positive,GBPUSD bulls push towards 1.2100 as Fed Minutes and Brexit UK wage talks approach
Negative,Japanese manufacturers pessimistic as global slowdown impacts - Reuters Tankan
Negative,USDJPY uptrend pauses near 13500 as yields reflect anxiety ahead of Fed Minutes
Negative,EURUSD may experience further downside below 0.6850 if weekly support line breaks - Price Analysis
Positive,EURUSD bulls gain momentum ahead of FOMC minutes
Positive,BoJ's Tamura: Maintaining monetary easing is appropriate
Positive,GBPUSD bulls prepare for another challenge against 50DMA hurdle near mid-12100s
Negative,BoJ's Tamura expects inflation to slow in the latter half of next fiscal year
Negative,USDJPY retreats towards key support at 13400 - Price Analysis
Negative,AUDUSD faces downward pressure near 0.6800 amid uncertain markets ahead of Fed Minutes
Positive,EURUSD extends recovery above 1.0660 as investors' risk appetite improves - Price Analysis
Neutral,GBPUSD stabilizes above 1.2100 as risk sentiment improves ahead of FOMC minutes
Negative,"EURUSD trims gains near 1.0650 ahead of FOMC Minutes, focus on Fed vs ECB divergence"
Negative,EURUSD faces potential breakdown below 1.0615 - UOB
Neutral,GBPUSD maintains consolidative stance in the near term - UOB
Negative,AUDUSD retains downward bias below 0.6820 - UOB
Negative,AUDUSD remains near monthly low below mid-0.6800s as traders await FOMC minutes
Negative,EURUSD likely to face downside pressure - Commerzbank
Positive,EURUSD expected to climb back toward 1.0700-1.0750 before the weekend - ING
Neutral,"German IFO Business Climate Index improves to 91.1 in February, slightly above expectations"
Negative,"GBPUSD drops to 1.2075-1.2100 area, erasing part of Tuesday's gains inspired by upbeat UK PMI"
Neutral,"EURUSD remains cautious near 1.0650, focus on FOMC Minutes"
Neutral,USDJPY maintains focus on the 135.50 region - UOB
Neutral,BoJ remains patient regarding potential turnaround in monetary policy - Commerzbank
Neutral,USDJPY consolidates near year-to-date high just below 135.00 mark as FOMC minutes approach
Negative,GBPUSD could dip back below 1.2000 level in the weeks ahead - Rabobank
Neutral,EURUSD unlikely to decline much below 1.0600 mark - Commerzbank
Negative,Yen expected to strengthen against the Dollar - BNP Paribas
Negative,"EURUSD may break below 1.0615, testing January 6 low near 1.0485 - BBH"
Negative,"AUDUSD approaches monthly low, remains above 0.6800 as traders await FOMC minutes"
Negative,GBPUSD could ease further - Scotiabank
Negative,"GBPUSD retains intraday losses, stays negative around 1.2100 ahead of FOMC minutes"
Negative,EURUSD could drop deeper towards 1.0410-1.0500 - Scotiabank
Neutral,"EURUSD faces resistance at the 200-hour MA, GBPUSD has support at the 200-hour MA"
Negative,EURUSD likely to see further losses below 1.0915 - Price Analysis
Negative,USDJPY expected to decline towards 125 over the coming months - Rabobank
Positive,"EURUSD turns higher, returns to positive territory on the day"
Negative,"USDJPY retreats further from two-month highs, attention on FOMC minutes"
Positive,USDJPY risks tilted to the upside in the near term - MUFG
Neutral,"GBPUSD dips below the 200-hour MA, uncertain if it will remain below"
Positive,GBPUSD bulls hold firm in the mid-1.2050s ahead of FOMC minutes - Price Analysis
Negative,Fed's hawkishness boosts the US Dollar - Forex Today
Negative,AUDUSD drops towards 0.6800 after FOMC minutes
Negative,AUDUSD falls below the 200-day MA
Negative,USDJPY bears become more active - Price Analysis
Neutral,EURUSD finds support around 1.0600 after a sharp decline post-hawkish Fed minutes
Negative,AUDUSD remains at seven-week low near 0.6800 amid Fed and geopolitical concerns
Neutral,"GBPUSD stabilizes around 1.2040, volatility persists ahead of US GDP"
Neutral,"EURUSD bulls may make a significant move, but bears could counter"
Neutral,USDJPY approaches 135.00 as Fed discussions and geopolitical tensions weigh
Negative,"AUDUSD bears dominate, testing bulls' commitments at last week's lows - Price Analysis"
Neutral,GBPUSD bounces off immediate support line towards 1.2100 - Price Analysis
Positive,EURUSD ends three-day losing streak above 1.0600 as US Dollar retreats amid cautious optimism
Negative,"USDJPY slides towards 134.50 support confluence, rising wedge under scrutiny - Price Analysis"
Positive,AUDUSD extends recovery towards 0.6840 as investors digest hawkish Fed minutes
Negative,GBPUSD recovery falters near 1.2050 amid Brexit uncertainty and UK PM's struggles
Positive,EURUSD climbs above 1.0620 as investors ignore volatility from Fed minutes
Negative,EURUSD could weaken further - UOB
Neutral,USDJPY holds mild losses below 135.00 amid subdued yields and mixed sentiment
Negative,"AUDUSD faces resistance-turned-support, testing rebound from 200DMA"
Negative,GBPUSD experiences additional consolidation in the near term - UOB
Positive,Eurozone HICP Preview: Upside forecast revisions from four major banks
Neutral,EURUSD expected to trade within 1.0510-1.1000 range for now - Credit Suisse
Neutral,"GBPUSD maintains modest gains above mid-1.2000s, lacks strong bullish sentiment"
Neutral,USDJPY forecasted to end 2023 at 125 - SocGen
Neutral,China's Commerce Ministry plans more measures to boost consumption
Positive,USDJPY still faces upward risks in the near term - UOB
Neutral,US Treasury Secretary Yellen to resume talks with China on economic issues
Positive,Underlying trend suggests USD weakness to resume - SocGen
Negative,EURUSD remains near multi-week lows below 1.0600
Neutral,"BoE's Mann: More rate hikes needed, no immediate policy shift"
Negative,USDJPY expected to break below 127.27 after short-term strength - Credit Suisse
Neutral,"USDJPY continues consolidative move below 135.00, downside appears supported"
Negative,EURUSD could test parity in the coming months - BofA
Negative,EURUSD might return to 1.0500 level - SocGen
Neutral,"AUDUSD trims modest intraday gains, trades just above 200DMA support near 0.6800"
Neutral,BoE's Mann: Some businesses plan to raise wages to retain staff
Positive,GBPUSD expected to gain momentum above key resistance at 1.2160 - OCBC
Neutral,EURUSD could remain bearish for a few weeks yet - ING
Negative,JPY's outlook remains optimistic - Nordea
Neutral,"GBPUSD rebounds from daily low, trades flat below mid-1.2000s ahead of US data"
Negative,EURUSD expected to reach mid-1.0400s in the coming weeks - Scotiabank
Negative,GBPUSD may quickly drop to major support at 1.1860 - Scotiabank
Negative,EURUSD Price Analysis: Next downside target is the 2023 low
Positive,USDJPY surges to new YTD high on upbeat US Jobless Claims data
Positive,EURUSD expected to trade in the range of 1.0511-1.1111 through Q2 - TDS
Neutral,GBPUSD holds gains around 1.2050 amid stable USD
Negative,EURUSD likely to continue correcting lower in the near term - MUFG
Negative,AUDUSD stays near 0.6820 after hitting new February low
Neutral,"USDJPY fails to break new cycle highs, but downside momentum remains weak"
Positive,AUDUSD attempts another break above the 200-day MA
Neutral,EURUSD Price Analysis: Bulls await cues for potential short squeeze opportunity
Negative,US data sparks concerns ahead of PCE inflation figures
Negative,"USDJPY bears gain momentum, targeting break below 134.50"
Negative,GBPUSD struggles below 100-day EMA but finds support above 1.2000
Positive,"AUDUSD rebounds above 0.68029, surpassing the 200-day MA"
Negative,"AUDUSD retreats after corrective bounce from seven-week low near 0.6800, US PCE Inflation in focus"
Negative,EURUSD under bearish pressure around 1.0600 ahead of Fed's preferred inflation gauge
Negative,Nearly half of Japan firms urge BOJ to reconsider negative rate policy
Negative,USDJPY Price Analysis: Bears take control as CPI data rolls in
Negative,"GBPUSD attracts interest around 1.2000, downside favored ahead of US PCE Inflation"
Neutral,AUDUSD Price Analysis: Bulls under pressure but aim for break above 0.6820s
Neutral,BOJ Governor nominee Ueda's comments at parliamentary hearing
Negative,"USDJPY plunges to session lows, testing commitments near 134"
Neutral,"EURUSD rises above 1.0600 as bond yields decline, focus on US PCE Inflation"
Neutral,BoJ governor nominee Ueda discusses shortening yield target among future options
Neutral,GBPUSD analysis: Remains cautious above 1.2000 amid bearish concerns
Positive,"BoJ Gov Nominee Ueda: Weak Yen benefits exports, tourism, and service sectors"
Neutral,AUDUSD rebounds towards 0.6850 amid mixed sentiment ahead of US inflation data
Neutral,USDJPY analysis: Volatility within key moving average envelope below 13500 on BoJ cues
Neutral,"AUDUSD approaches key 200-day MA support, buyers showing interest"
Negative,French Finance Minister Le Maire: Europe considering new sanctions on Russia
Negative,"BoJ Deputy Governor Nominees Uchida and Himino struggle to defend dovish stance, USDJPY remains below 13500"
Neutral,"EURUSD holds steady at 1.0600 amid German data, focus on US inflation gauge"
Neutral,"USDJPY consolidates around 13470 after BoJ Ueda's speech, volatility ensues"
Negative,GBPUSD looks fragile above 1.2000 despite hawkish BoE speculations
Negative,EURUSD may experience further decline in the near term - UOB
Neutral,Forex Today: Markets choppy ahead of crucial US data releases
Negative,GBPUSD expected to accelerate losses below 1.1950 - UOB
Negative,AUDUSD likely to decline further - UOB
Negative,"AUDUSD struggles near 0.6800, bears approach 200-day SMA ahead of US inflation data"
Neutral,USDJPY: Decreasing expectations for move towards 135.50 - UOB
Positive,USDJPY: Potential to reach 136-137 area in the next few weeks - ING
Positive,USD may find it challenging to appreciate further against EUR - Commerzbank
Neutral,ECB's Nagel: No significant rate hikes expected after March
Neutral,Germany's Lindner: No normal business relations with Russia as long as conflict persists
Neutral,GBPUSD support expected around 1.1850-1.1950 in the coming weeks - ING
Positive,USDJPY: Continued Yen appreciation likely challenging for now - Commerzbank
Positive,USDJPY moves closer to YTD high above 13500 ahead of US inflation data
Negative,EURUSD seems available below 10600 before the release of US data
Negative,EURUSD could test 10575 support and drop to 10500 according to ING
Positive,GBPUSD maintains slight gains above 12000 with attention still on the US PCE Price Index
Positive,USDJPY expected to continue bouncing towards 1370070 after crossing above 13550 as per SocGen
Neutral,US Core PCE and UST Yields will have a greater impact in the near future for USDJPY - OCBC
Negative,Continuous declines over the previous week appear likely to continue for EURUSD - Scotiabank
Negative,Breaks significant 200 DMA and 382 Fibo support appears at risk for AUDUSD
Positive,Space to continue drifting upwards for USDJPY - MUFG
Positive,"USDJPY extends gains from robust intraday rally, rises to 13600 due to stronger US PCE Price Index"
Negative,EURUSD drops to multiweek lows around 10540 after US PCE release
Neutral,EURUSD could experience a short-term decline but is expected to rise in the long run - Nordea
Negative,Increasing wagers for a decline towards 10480 in EURUSD Analysis
Positive,USDJPY maintains its upward momentum
Neutral,GBPUSD achieves significant 100/200 day target...CRUCIAL level for buyers and sellers
Negative,Bearish BoE outlook likely to impact Pound
Positive,USDJPY rises to new 2023 peak above 13600
Negative,"GBPUSD falls under 12000, heading for lowest weekly close in three months"
Negative,EURUSD keeps declining
Neutral,GBPUSD bounces off 100/200 day MA. What now?
Negative,EURUSD could slide toward the 10330 area - MUFG
Positive,USDJPY continues to climb
Positive,AUDUSD Analysis: Bulls aim for a correction to test dynamic resistance
Positive,ECB Lagarde pledges another 50 basis points in March
Negative,EURUSD eyes more downside below 10540 as US PCE propels hawkish Fed bets
Positive,UK on the verge of new Brexit deal with EU over Northern Ireland
Positive,UK PM Sunak possibly secures significant concessions in an impending Brexit deal - The Times
Negative,GBPUSD Analysis Indicates Preference for Downside as US PCE Data Backs Fed's Rate Hike Expectations
Neutral,AUDUSD Suffers above 06700 amidst Key PMI Data and Aussie Q4 GDP Waiting
Negative,USDJPY Price Analysis Warns of Bears near 13650
Negative,EURUSD Treads Cautiously around 10550 amid Hawkish ECB Talks and Fed Rate Concerns
Negative,GBPUSD Struggles to Maintain Brexit Optimism around 11950 amidst Fed's Hawkish Sentiments
Positive,Survey Shows Most UK Businesses Optimistic about Medium-Term Economic Growth
Positive,AUDUSD Analysis Indicates Rebound from 06730 Support Confluence
Neutral,PBOC Predicts Economic Rebound in 2023
Negative,"USDJPY Retraces to 13600 as Yields Retreat from Multi-Day High, Focus on BoJ Talks"
Neutral,USDJPY Goldman Sachs Predicts Limited Weakness in Yen
Neutral,US Sullivan Comments on China's 'Awkward' Position over Ukraine Internationally
Negative,EURUSD Analysis Suggests Potential Breakdown below 10540
Neutral,BoJ Gov Nominee Ueda Believes Continuing Monetary Easing is Appropriate
Negative,GBPUSD Analysis Shows Cable Bears Keeping an Eye on 11930 amidst Key Brexit Announcements
Positive,USDJPY Analysis Points to Move towards 13700 as BoJ Ueda Favors Easy Policy
Positive,BoJ Gov Nominee Ueda Suggests Potential for Boosting Prices and Wages with Monetary Easing
Negative,EURUSD Bears Assert Dominance above 10500 ahead of US Durable Goods Orders
Negative,AUDUSD Hits Fresh Seven-Week Low at 06700 amid Fed's Fight against US Inflation
Negative,EURUSD Could Weaken below 10500 - UOB
Neutral,Incoming BoJ Gov Ueda Declines to Comment on Further Available Measures
Negative,GBPUSD Could Experience Further Losses below 11870 - UOB
Positive,EURCHF Expected to Trade Slightly Higher over the Coming Months - Commerzbank
Negative,AUDUSD Short-Term Outlook Remains Weak - UOB
Neutral,USDJPY Ueda Uninterested in Disrupting Yen Exchange Rates Before Assuming New Role
Positive,USDJPY Next Target on the Upside is 13790 - UOB
Negative,EURUSD May Decline towards 10460 – ING
Positive,GBPUSD Successfully Defends and Rebounds from 200-Day SMA amid Slight USD Decline
Positive,"EURUSD Expected to Decline, USDJPY Risks Trending Higher – TDS"
Negative,GBPUSD Could Fall to 11850 This Week – ING
Neutral,USDJPY Stays Defensive Below Year-to-Date Peak with USD Bullish Potential Intact
Neutral,EURUSD Analysis Simplistic at Present – Commerzbank
Neutral,"EURUSD Finds Relief near 10530, Awaits Data"
Negative,"AUDUSD Stagnates near Lowest Level since January, Hovers above 06700 Mark"
Negative,Euro Area Economic Sentiment Indicator Falls to 997 in February vs 101 Expected
Positive,"EURUSD Predicted to Reach 105 by Midyear, Expected Recovery to 110 by Year-End – BofA"
Neutral,GBPUSD Boost from Brexit Deal Unlikely to Sustain – MUFG
Neutral,EURUSD Anticipates Further Selling before Rebound – SocGen
Neutral,Implications of US Durable Goods Orders on EURUSD Awaited
Positive,USDJPY Vulnerable to Further Correction Lower – MUFG
Positive,GBPUSD May Experience Additional Short-Term Gains to 12050 – Scotiabank
Negative,EURUSD Losses Likely to Extend to the Mid-104 Area before Establishing a Strong Base – Scotiabank
Positive,EURUSD Expected to Benefit from Relative Rate Trends in the Coming Weeks – SocGen
Positive,EURUSD Downside Pressure Eases above 10804
Positive,"EURUSD Continues Gaining Momentum, Breaks above 10600 as DXY Falls"
Positive,GBPUSD Rises above 12050 after US Data and UK-EU Northern Ireland Deal
Neutral,USDJPY Price Analysis Shows Volatility near Year-to-Date Highs around 13620s
Positive,"AUDUSD Climbs to 06730s on Mixed US Data, Downside Risks Persist"
Neutral,EURUSD Price Analysis Indicates Bulls Waiting for Discount Opportunities
Neutral,Forex Sentiment Fragile as Market Awaits Clearer Clues
Positive,"GBPUSD Bulls Maintain Control, Aim for Trendline Resistance Test"
Neutral,AUDUSD Encounters Obstacles near 06750 ahead of Australian GDP and US PMI Figures
Positive,White House Trims Plans to Regulate US Investments in China – Politico
Negative,BoJ’s Wakatabe Warns of Continued Risk of Secular Stagnation
Negative,"EURUSD Struggles to Extend Weekstart Recovery near 10600, Focus on US Consumer Confidence"
Negative,USDJPY Price Analysis: Bears Aim for Break in Trendline Support
Positive,GBPUSD Bulls Maintain Dominance as US Dollar Remains Weak
Positive,"Aussie Retail Sales Beat Expectations, Driving AUDUSD to Test 06750"
Positive,AUDUSD Continues Bounce from Multiday Low towards 06800 on Positive Australia Retail Sales
Neutral,EURUSD Price Analysis: Maintains Quiet Stance near 10600 on Bullish Radar
Neutral,BoJ Deputy Gov Nominee Uchida Deems Altering 2% Inflation Target Unthinkable
Neutral,Incoming BoJ Deputy Gov Uchida Believes Expanding Yield Target Band Would Dilute Easing Effects
Neutral,"USDJPY Holds Steady above 13600 as Yields Pause Previous Decline, BoJ Dovish Stance Remains Intact"
Negative,GBPUSD Price Analysis: Momentum from Brexit Deal Fades near 1.2050
Neutral,AUDUSD Price Analysis: Reversal Lacks Momentum amid Fragile Risk Appetite
Neutral,Incoming BoJ Deputy Gov Himino: Focus on Maintaining Easy Policy to Support Economy
Negative,GBPUSD Retreats towards 12000 as DUP Considers Testing Practicality of Brexit Deal
Negative,EURUSD Struggles to Sustain Gain above 10600 amid Expectations of Fed’s Interest Rate Peak
Neutral,USDJPY Price Analysis: Continues to Edge Higher within Monthly Rising Wedge around 13650
Positive,ECB’s Lane: Case for 50 bps Rate Hike in March Remains Firm
Negative,"AUDUSD Surrenders Modest Intraday Gains, Tests Daily Low amid Slight USD Strength"
Negative,EURUSD Likely to Witness Further Losses below 10625 – UOB
Positive,EURUSD: Inflation Data Could Support Euro this Week – Commerzbank
Neutral,GBPUSD Now Enters Consolidative Phase – UOB
