true_sentiment,title
Positive,RBA minutes The board agreed that additional rate hikes were likely in the coming months
Positive,AUDUSD renews intraday high above 06900 on RBA Minutes US PMI in focus
Positive,BoJs Kuroda Wage growth likely to accelerate
Negative,GBPUSD justifies Monday’s bearish Doji to drop towards 12000 ahead of UKUS PMI
Negative,EURUSD Price Analysis Bears approach 11weekold support line near 10620
Positive,USDJPY tracks firmer yields to rise past 13400 despite hawkish BoJ talks mixed Japan data
Neutral,AUDUSD hovers near 06900 as RBA hawks battle with US Dollar bulls focus on PMI
Negative,GBPUSD Brexit woes US Dollar rebound on full markets favor bears ahead of UKUS PMI
Negative,EURUSD drops to near 10660 as riskoff impulse solidifies ahead of Eurozone ZEW Survey
Neutral,AUDUSD stabilizes below 06900 despite hawkish RBA minutes and upbeat Feb PMI
Neutral,Japan’s Lawmaker BOJ chief nominee Ueda to testify before the Upper House on Feb 27
Neutral,EURUSD Downward momentum loses traction – UOB
Neutral,USDJPY Price Analysis Mildly bid above 13380 support confluence
Negative,GBPUSD Further weakness looks likely below 12100 – UOB
Neutral,GBPUSD Price Analysis Trades with modest losses holds above 12000 ahead of UKUS PMIs
Neutral,FX option expiries for Feb 21 NY cut
Neutral,Significance PMIs for exchange rates might increase for now – Commerzbank
Positive,EURUSD Positive PMI surveys to propel Euro back to the 1075010800 range – ING
Negative,German Preliminary Manufacturing PMI unexpectedly declines to 465 in February
Negative,EURUSD appears offered below the 10700 mark ahead of data
Negative,Eurozone Preliminary Manufacturing PMI drops to 485 in February vs 493 expected
Negative,AUDUSD remains heavily offered below 06900 mark amid stronger USD riskoff mood
Positive,UK Preliminary Services PMI returns to expansion with 533 in February
Positive,USDJPY clings to intraday gains eyes 13500 mark  amid modest USD strength
Positive,German ZEW Economic Sentiment Index improves to 281  in February vs 220 expected
Neutral,GBPUSD spikes beyond 12100 mark on upbeat UK PMIs stronger USD caps gains
Negative,GBP to remain under pressure as Brexit issues remain in place – Commerzbank
Neutral,USDJPY faces extra consolidation near term – UOB
Negative,EURUSD Downside pressure to build on a clear daily close under 10680 – Scotiabank
Neutral,EURUSD Price Analysis Extra consolidation appears in store near term
Neutral,EURUSD Recent 1062010720 range could hold – OCBC
Positive,"The USD is mixed in early trading with the EURUSD lower, the GBPUSD higher."
Positive,GBPUSD set to reach the 1216570 area – Scotiabank
Positive,AUDUSD to test the upside of its current 068070 range on strong Australian wages data – Commerzbank
Neutral,Lagarde speech Not seeing wage price spiral in Eurozone
Neutral,EURUSD back up testing the 200 hour MA
Negative,USDJPY backs off after move above last week's high fails
Negative,EURUSD losses traction and falls toward 10660s postUS PMIs ahead of FOMC’s minutes
Positive,GBPUSD Price Analysis Bulls spring to life on backside of bear trend
Positive,USDJPY bulls eye a continuation as the US Dollar bounces back to life
Negative,Forex Today Renewed inflationrelated concerns boost the US Dollar
Negative,AUDUSD sees more weakness below 06850 ahead of FOMC minutes
Negative,EURUSD Price Analysis Retreats from 10650 amid dismal market mood
Positive,GBPUSD bulls attack 12100 as Fed Minutes loom Brexit UK wage talks eyed as well
Negative,Japan manufacturers gloomy as global slowdown hurts  Reuters Tankan
Negative,USDJPY pauses three day uptrend near 13500 as yields portray anxiety ahead of Fed Minutes
Negative,AUDUSD Price Analysis Further downside past 06850 hinges on weekly support line break
Positive,EURUSD bulls move in ahead of the FOMC minutes
Positive,BoJs Tamura It is appropriate to maintain monetary easing
Positive,GBPUSD Price Analysis Bulls eye another battle with 50DMA hurdle near mid12100s
Negative,BoJ’s Tamura Inflation likely to slow pace of increase towards latter half of next fiscal year
Negative,USDJPY Price Analysis Retreats towards 13400 key support
Negative,AUDUSD bears approach 06800 amid dicey markets ahead of Fed Minutes
Positive,EURUSD Price Analysis Extends recovery above 10660 as investors’ risktaking capacity improves
Neutral,GBPUSD stabilizes above 12100 as risk on impulse rebounds FOMC minutes eyed
Negative,EURUSD trims gains near 10650 ahead of FOMC Minutes Fed vs ECB divergence is in focus
Negative,EURUSD risks a potential breakdown of 10615 – UOB
Neutral,GBPUSD clings to the consolidative stance near term – UOB
Negative,AUDUSD Downward bias unchanged below 06820 – UOB
Negative,AUDUSD hangs near monthly low below mid06800s as traders await FOMC minutes
Negative,EURUSD The downside risk is likely to dominate – Commerzbank
Positive,EURUSD to climb back higher toward 1070010750 before the weekend – ING
Neutral,German IFO Business Climate Index improves to 911 in February vs 914 expected
Negative,A few more data publications and speeches by BoE members might cause difficulties for GBP again – Commerzbank
Neutral,IFO’s Economist German economy will not get around recession but it will be mild
Negative,GBPUSD drops to 1207570 area erodes a part of Tuesday’s upbeat UK PMIinspired gains
Neutral,EURUSD cautious near 10650 focus remains on the FOMC Minutes
Neutral,USDJPY keeps focused on the 13550 region – UOB
Neutral,BoJ Patience as far as a possible turnaround in monetary policy is concerned – Commerzbank
Neutral,USDJPY consolidates near YTD top just below 13500 mark as FOMC minutes looms large
Negative,GBPUSD Scope for dips back below the 120 level in the weeks ahead – Rabobank
Neutral,EURUSD unlikely to ease much below the 106 mark – Commerzbank
Negative,Yen should strengthen versus the Dollar – BNP Paribas
Negative,EURUSD Break below 10615 to set up a test of January 6 low near 10485 – BBH
Negative,AUDUSD flirts with monthly low holds above 06800 as traders await FOMC minutes
Negative,GBPUSD risks easing a little more – Scotiabank
Negative,GBPUSD pares intraday losses keeps the red around 12100 ahead of FOMC minutes
Negative,EURUSD A deeper drop towards 104105 is a real possibility – Scotiabank
Neutral,The EURUSD has topside resistance ag. the 200 hour MA. The GBPUSD has 200H support
Negative,EURUSD Price Analysis Further losses likely below 10915
Negative,USDJPY to tick down toward 125 over coming months – Rabobank
Positive,EURUSD extending higher and is back positive on the day
Negative,USDJPY retreats further from two month highs eyes on FOMC minutes
Positive,USDJPY Risks appear more titled to the upside in the near term – MUFG
Neutral,GBPUSD dips below the 200 hour MA. Can it stay below now?
Positive,GBPUSD Price Analysis Bulls holding the fort in the 12050s ahead of FOMC minutes
Negative,Forex Today Fed’s hawkishness boosts the US Dollar
Negative,AUDUSD dives towards 06800 after FOMC’s minutes
Negative,AUDUSD back below the 200 day MA
Negative,USDJPY Price Analysis Bears are on the prowl
Neutral,EURUSD finds cushion around 10600 after a nosedive move posthawkish Fed minutes
Negative,AUDUSD licks its wounds at sevenweek low near 06800 on Fed geopolitical concerns
Neutral,GBPUSD builds a cushion around 12040 volatility looks persistent ahead of US GDP
Neutral,EURUSD Price Analysis Bulls could be about to make a serious move but bears could pounce
Neutral,USDJPY pokes 13500 as Fed talks China Russia ties join sluggish yields on Japan holiday
Negative,AUDUSD Price Analysis Bears are in control testing bulls commitments at last weeks lows
Neutral,GBPUSD Price Analysis Bounces off immediate support line towards 12100
Positive,EURUSD snaps threeday losing streak above 10600 as US Dollar retreats amid cautious optimism
Negative,USDJPY Price Analysis Slides towards 13450 support confluence rising wedge in focus
Positive,AUDUSD extends recovery to near 06840 as investors digest hawkish Fed minutes
Negative,GBPUSD fades recovery near 12050 amid Brexit limbo UK PM Sunak’s struggle in PMQs
Positive,EURUSD scales above 10620 as investors shrug off Fed minutesinspired volatility
Negative,EURUSD Further weakness on the cards – UOB
Neutral,USDJPY clings to mild losses below 13500 amid inactive yields mixed mood
Negative,AUDUSD Price Analysis Supportturnedresistance probes rebound from 200DMA
Negative,GBPUSD faces extra consolidation near term – UOB
Positive,Eurozone HICP Preview Forecasts from four major banks upside revision
Neutral,EURUSD likely to move into a 105110 range for now – Credit Suisse
Neutral,GBPUSD sticks to modest gains above mid12000s lacks bullish conviction
Neutral,USDJPY to end 2023 at 125 – SocGen
Neutral,China’s Commerce Ministry Will take more measures to restore and expand consumption
Positive,USDJPY still faces upside risks in the near term – UOB
Neutral,US Treasury Sec Yellen Will resume discussions with China on economic issues at an appropriate time
Positive,The underlying trend is for USD weakness to resume – SocGen
Negative,EURUSD hovers around multiweek lows below 10600
Neutral,BoE’s Mann More tightening is needed and a pivot is not imminent
Negative,USDJPY to see a sustained break below 12727 after further shortterm strength – Credit Suisse
Neutral,USDJPY extends its consolidative price move below 13500 downside seems cushioned
Negative,EURUSD Scope for retesting parity over the coming months – BofA
Negative,EURUSD A return towards 105 cannot be ruled out – SocGen
Neutral,AUDUSD pares modest intraday gains trades just above 200 DMA support near 06800
Neutral,BoEs Mann Some businesses expect to raise wages by 67 to retain staff
Positive,GBPUSD Gains to gather traction on a break above key resistance at 12160 – OCBC
Neutral,EURUSD could trade on the offered side for a few weeks yet – ING
Negative,JPY’s outlook remains bright – Nordea
Neutral,GBPUSD bounces off daily low flatlines below mid12000s ahead of US data
Negative,EURUSD Mid104 area looks to be the destination over the next few weeks – Scotiabank
Negative,GBPUSD Quick drop to major support at 11860 on a loss of support in the low119s – Scotiabank
Negative,EURUSD Price Analysis Next on the downside emerges the 2023 low
Positive,USDJPY spikes to fresh YTD peak on better than expected US Jobless Claims data
Positive,EURUSD see in a 105111 range through Q2 getting close to buy the dip territory – TDS
Neutral,GBPUSD clings to gains around 12050 amidst flat USD
Negative,EURUSD to continue correcting lower in the nearterm – MUFG
Negative,AUDUSD hovers around 06820 after hitting a new February low
Neutral,"USDJPY fails on the break to new cycle highs, BUT sellers still lag downside momentum"
Positive,AUDUSD tries another break of the 200 day MA
Neutral,EURUSD Price Analysis Bulls looking for cues for a short squeeze opportunity
Negative,Forex Today US data fueled market concerns ahead of PCE inflation figures
Negative,USDJPY bears are in town and a break of 13450 is eyed
Negative,GBPUSD Price Analysis Creeps below the 100day EMA but struggles to crack 12000
Positive,AUDUSD snaps back above 200 day MA at 0.68029
Negative,AUDUSD fades corrective bounce off sevenweek low near 06800 US PCE Inflation eyed
Negative,EURUSD Bears in control around 10600 ahead of Fed’s preferred inflation gauge
Negative,Nearly half of Japan firms want BOJ to revise negative rate policy
Negative,USDJPY Price Analysis Bears make a move into longs as CPI rolls in
Negative,GBPUSD finds interest around 12000 downside seems favored ahead of US PCE Inflation
Neutral,AUDUSD Price Analysis Bulls pressured but eye a break of 06820s
Neutral,BOJ Governor nominee Uedas comments at parliamentary hearing
Negative,Breaking USDJPY plummets to session lows to test 134 commitments
Neutral,EURUSD breaks above 10600 as yields extend losses US PCE Inflation in focus
Neutral,BoJ governor nominee Ueda Shortening yield target one among many options in future
Neutral,GBPUSD Price Analysis Stays defensive above 12000 as bears fear bumpy road ahead
Positive,BoJ Gov Nominee Ueda Weak Yen benefits exports inbound tourism and some service sectors
Neutral,AUDUSD rebound eyes 06850 amid mixed sentiment ahead of Fed’s favorite inflation gauge
Neutral,USDJPY Price Analysis Whipsaws within key HMA envelope below 13500 on BoJ cues
Neutral,AUDUSD moves toward key 200 day MA support again. Buyers are leaning.
Negative,French FinMin Le Maire Europe is thinking and working on new sanctions on Russia
Negative,BoJ Deputy Governor Nominees Uchida Himino struggle to defend dovish bias USDJPY grinds below 13500
Neutral,EURUSD clings to 10600 as German statistics Fed’s preferred inflation gauge loom
Neutral,USDJPY squeezes around 13470 postBank of Japan Ueda’s speech inspired volatility
Negative,GBPUSD looks vulnerable above 12000 despite hawkish BoE bets mount
Negative,EURUSD risks a deeper drop near term – UOB
Neutral,Forex Today Markets remain choppy ahead of key US data releases
Negative,GBPUSD Losses seen accelerating below 11950 – UOB
Negative,AUDUSD Further decline appears on the cards – UOB
Negative,AUDUSD struggles near 06800 bears flirt with 200day SMA ahead of US PCE Price Index
Neutral,USDJPY Dwindling bets for a move to 13550 – UOB
Positive,USDJPY could hit the 136137 area over the next couple of weeks – ING
Positive,It might get increasingly difficult for USD to gain further ground against the EUR – Commerzbank
Neutral,ECB’s Nagel Cant rule significant further rate hikes after March
Neutral,Germany’s Lindner No business as usual with Russia as long as this war continues
Neutral,GBPUSD Support levels at 118501950 may hold over the next couple of weeks – ING
Positive,USDJPY Renewed appreciation of the Yen against Dollar should remain difficult for now – Commerzbank
Positive,USDJPY jumps back closer to YTD top sits above 13500 ahead of US PCE Price Index
Negative,EURUSD appears offered below 10600 ahead of US data
Negative,EURUSD Potential to press 10575 support and move to 10500 – ING
Positive,GBPUSD sticks to modest gains above 12000 focus remains glued to US PCE Price Index
Positive,USDJPY to extend the bounce toward 1370070 on a cross above 13550 – SocGen
Neutral,USDJPY US Core PCE and UST Yields will be bigger drivers in the near term – OCBC
Negative,EURUSD Steady losses over the past week look set to extend – Scotiabank
Negative,AUDUSD Price Analysis Breaks key 200 DMA and 382 Fibo support seems vulnerable
Positive,USDJPY Room to keep drifting higher – MUFG
Positive,USDJPY builds on strong intraday rally climbs to 13600 on stronger US PCE Price Index
Negative,EURUSD sinks to multiweek lows near 10540 postUS PCE
Neutral,EURUSD may sustain a shortterm dip but seen higher in the long term – Nordea
Negative,EURUSD Price Analysis Rising bets for drop to 10480
Positive,USDJPY continues the run higher
Neutral,GBPUSD reaches key 100/200 day target...KEY level for buyers and sellers
Negative,Dovish BoE should weigh on the Pound – Commerzbank
Positive,USDJPY climbs to fresh 2023high above 13600
Negative,GBPUSD drops below 12000 heads for lowest weekly close in three months
Negative,EURUSD keeps the pressure to the downside
Neutral,GBPUSD bounces off 100/200 day MA. What now?
Negative,EURUSD Room for a slide toward the 10330 area – MUFG
Positive,USDJPY moves to a new session high
Positive,AUDUSD Price Analysis Bulls eye a correction to test dynamic resistance
Positive,ECB Lagarde We will do another 50 basis points in March
Negative,EURUSD eyes more downside below 10540 as US PCE propels hawkish Fed bets
Positive,UK’s Raab UK on cusp of new Brexit deal with EU over Northern Ireland
Positive,UK PM Sunak may have obtained significant concessions in a looming Brexit deal – The Times
Negative,GBPUSD Price Analysis Downside looks favored as US PCE data supports more rates from Fed
Neutral,AUDUSD licks its wounds above 06700 as key PMI data Aussie Q4 GDP loom
Negative,USDJPY Price Analysis Bears lurking near 13650
Negative,EURUSD skates on thin ice around 10550 amid hawkish ECB talks higher Fed rate concerns
Negative,GBPUSD struggles to justify Brexit hopes around 11950 amid hawkish Fed concerns
Positive,Most UK businesses optimistic about medium term economic growth survey shows
Positive,AUDUSD Price Analysis Rebounds from 06730 support confluence
Neutral,PBOC Report Economy will rebound in 2023
Negative,USDJPY retraces to 13600 as yields pull back from multiday high BoJ talks eyed
Neutral,USDJPY The Yen weakness to stay limited – Goldman Sachs
Neutral,US’ Sullivan China in ‘awkward’ international position over Ukraine
Negative,EURUSD Price Analysis Looks set for a breakdown below 10540
Neutral,BoJ Gov Nominee Ueda Appropriate to continue monetary easing from now on as well
Negative,GBPUSD Price Analysis Cable bears keep 11930 on radar as key Brexit announcements loom
Positive,USDJPY Price Analysis Makes way for 13700 as BoJ Ueda reiterates favor for easy policy
Positive,BoJ Gov Nominee Ueda Possible to push up prices wages with monetary easing
Negative,EURUSD bears flex muscles above 10500 ahead of US Durable Goods Orders
Negative,AUDUSD prints a fresh sevenweek low at 06700 as Fed’s battle against US inflation brawls
Negative,EURUSD could weaken below 10500 – UOB
Neutral,Incoming BoJ Gov Ueda Wont comment on what further steps are available
Negative,GBPUSD Further losses seen below 11870 – UOB
Positive,EURCHF to trade moderately higher over the coming months – Commerzbank
Negative,AUDUSD Nearterm outlook remains weak – UOB
Neutral,USDJPY Ueda not interested in upsetting Yen exchange rates before assuming his new role – Commerzbank
Positive,USDJPY Next on the upside comes 13790 – UOB
Negative,EURUSD could trade down to 10460 – ING
Positive,GBPUSD manages to defend and rebound from 200day SMA amid a modest USD downtick
Positive,EURUSD to move lower USDJPY risks lean higher – TDS
Negative,GBPUSD At risk of falling to 11850 this week – ING
Neutral,USDJPY remains on the defensive below YTD peak amid softer USD bullish potential intact
Neutral,EURUSD The analysis of the pair is pretty onedimensional at present – Commerzbank
Neutral,EURUSD finds some respite near 10530 looks at data
Negative,AUDUSD languishes near its lowest level since January holds just above 06700 mark
Negative,Euro area Economic Sentiment Indicator declines to 997 in February vs 101 expected
Positive,EURUSD seen at 105 by midyear recovery to 110 expected by yearend – BofA
Neutral,GBPUSD Boost from Brexit deal unlikely to have a lasting impact – MUFG
Neutral,EURUSD Further selling but a rebound first – SocGen
Neutral,When are the US Durable Goods Orders and how could they affect EURUSD
Positive,USDJPY Yen vulnerable to a further correction lower – MUFG
Positive,GBPUSD could enjoy more shortterm gains to 12050 – Scotiabank
Negative,EURUSD Losses to extend to the mid104 area before a more sustainable base can develop – Scotiabank
Positive,EURUSD Relative rate trends to favour the Euro again in the coming weeks – SocGen
Positive,EURUSD Price Analysis Downside alleviated above 10804
Positive,EURUSD extends gains breaks above 10600 as DXY tumbles
Positive,GBPUSD climbs above 12050 post US data UKEU Northern Ireland deal
Neutral,USDJPY Price Analysis Seesaws nearby the YTD high around 13620s
Positive,AUDUSD climbs to 06730s on mixed US data though downside risks remain
Neutral,EURUSD Price Analysis Bulls on the sidelines in anticipation of a discount
Neutral,Forex Today Sentiment fragile ahead of clearer clues
Positive,GBPUSD Price Analysis Bulls stay in control and eye a test of trendline resistance
Neutral,AUDUSD faces barricades around 06750 ahead of Australian GDP and US PMI data
Positive,White House scales back plans to regulate US investments in China – Politico
Negative,BoJ’s Wakatabe Secular stagnation risk has yet to pass
Negative,EURUSD struggles to extend weekstart rebound near 10600 US Consumer Confidence eyed
Negative,USDJPY Price Analysis Bears seek a break in trendline support
Positive,GBPUSD bulls hold the fort as US Dollar stays soft
Positive,Aussie Retail Sales beats and sends AUDUSD bid to test 06750
Positive,AUDUSD extends bounce off multiday low towards 06800 on upbeat Australia Retail Sales
Neutral,EURUSD Price Analysis Sits quietly on bull’s radar around 10600
Neutral,BoJ deputy gov nominee Uchida Changing 2 inflation target is unthinkable
Neutral,Incoming BoJ Depty Gov Uchida Widening yield target band itself would weaken effects of easing
Neutral,USDJPY steadies above 13600 as yields pause previous retreat BoJ dovish stance appears safe
Negative,GBPUSD Price Analysis Fades Brexit deal inspired upside momentum near 1 2050
Neutral,AUDUSD Price Analysis Reversal lacks strength as risk appetite looks fragile
Neutral,Incoming BoJ Depty Gov Himino Focus now should be on keeping easy policy to support economy
Negative,GBPUSD retreats towards 12000 as DUP eyes to ‘test’ Brexit deal’s practicality
Negative,EURUSD fails to sustain above 10600 as street sees Fed’s interest rate peak near 6
Neutral,USDJPY Price Analysis Grinds higher around 13650 within monthly rising wedge
Positive,ECB’s Lane Case for 50 bps rate hike in March remains solid
Negative,AUDUSD surrenders modest intraday gains flirts with daily low amid modest USD strength
Negative,EURUSD Further losses remain on the cards below 10625 – UOB
Positive,EURUSD Inflation data might support the Euro this week – Commerzbank
Neutral,GBPUSD now moved into a consolidative phase – UOB
Negative,GBPUSD Impact of new Northern Ireland deal may be only short lived – ING
Neutral,UK PM Sunak New Northern Ireland deal not about any one political party
Negative,EURUSD Risks of 10500 being tested in the near term remain elevated – ING
Positive,USDJPY now focuses on the 13790 level – UOB
Neutral,EU’s Gentiloni EU is likely to avoid a severe recession
Positive,USDJPY clings to gains near YTD peak seems poised to appreciate further
Negative,Sterling likely to remain under depreciation pressure despite Brexit deal – Commerzbank
Neutral,"Key Trading Levels - EURGBP, NZDJPY, NZDUSD, USDCAD, USDCHF, and USDJPY"
Positive,GBPUSD climbs to 12100 amid Brexit optimism and softer USD lacks followthrough
Positive,EURUSD remains firm and climbs to 3day highs near 10620
Negative,GBPUSD Forex Analysis - Retest & Failure At 1.2100 Level?
Positive,EURCHF Further upside pressure might arise SNB could intervene – Commerzbank
Positive,USDJPY to move toward 125 at the end of 2023 – SocGen
Positive,EURUSD to climb back towards 110 by the end of March – SocGen
Negative,AUDUSD could extend its decline to the 06550 mark – SocGen
